时间,电压V1,电压V2,电压V3,电流I1,电流I2,电流I3,有功功率,无功功率,视在功率,功率因素,容抗,频率
2019-09-11 11:23:56.413,396,395,393,3261,3232,3169,3766,-24,3766,1,49.99,173553
2019-09-11 11:23:56.589,393,391,392,3245,3229,3176,3791,23,3791,1,49.98,173554
2019-09-11 11:23:56.717,393,392,390,3251,3238,3186,3822,10,3822,1,50,173555
2019-09-11 11:23:56.842,397,395,397,3245,3239,3200,3799,-29,3799,1,49.96,173556
2019-09-11 11:23:56.982,390,393,391,3263,3248,3174,3759,-36,3759,1,49.97,173557
2019-09-11 11:23:57.092,393,396,393,3260,3240,3178,3801,-16,3801,1,49.99,173558
2019-09-11 11:23:57.223,394,400,395,3260,3237,3185,3758,-47,3758,1,50,173559
2019-09-11 11:23:57.322,394,395,395,3251,3240,3176,3822,3,3822,1,49.98,173560
2019-09-11 11:23:57.416,390,390,394,3255,3228,3170,3793,24,3793,1,49.98,173561
2019-09-11 11:23:57.530,391,389,389,3243,3239,3192,3825,-3,3825,1,49.99,173562
2019-09-11 11:23:57.628,396,396,393,3263,3241,3175,3792,8,3792,1,50,173563
2019-09-11 11:23:57.757,394,396,392,3272,3253,3205,3838,16,3838,1,49.99,173564
2019-09-11 11:23:57.898,395,393,393,3255,3249,3198,3782,-36,3782,1,50,173565
2019-09-11 11:23:58.040,395,393,392,3269,3240,3189,3779,-3,3779,1,49.97,173566
2019-09-11 11:23:58.125,393,391,391,3248,3257,3188,3790,19,3790,1,49.99,173567
2019-09-11 11:23:58.222,393,394,395,3260,3236,3179,3830,26,3830,1,49.99,173568
2019-09-11 11:23:58.316,392,391,394,3261,3242,3195,3803,-28,3804,1,49.99,173569
2019-09-11 11:23:58.425,393,390,388,3259,3241,3182,3824,-7,3824,1,49.97,173570
2019-09-11 11:23:58.534,397,394,393,3260,3252,3204,3808,-34,3808,1,49.97,173571
2019-09-11 11:23:58.628,395,394,392,3278,3239,3180,3834,-29,3834,1,49.99,173572
2019-09-11 11:23:58.716,395,393,390,3261,3236,3193,3804,-24,3804,1,49.99,173573
2019-09-11 11:23:58.818,396,396,395,3256,3237,3180,3791,-48,3791,1,49.99,173574
2019-09-11 11:23:58.914,396,399,393,3273,3247,3186,3830,-39,3831,1,49.98,173575
2019-09-11 11:23:59.023,394,391,394,3269,3257,3204,3810,1,3810,1,50.02,173576
2019-09-11 11:23:59.134,397,398,396,3264,3239,3192,3795,-46,3795,1,50,173577
2019-09-11 11:23:59.217,394,390,392,3248,3231,3179,3798,-5,3798,1,50,173578
2019-09-11 11:23:59.310,396,393,394,3245,3242,3188,3834,46,3834,1,49.98,173579
2019-09-11 11:23:59.453,393,392,392,3259,3262,3200,3817,4,3817,1,49.97,173580
2019-09-11 11:23:59.595,400,396,392,3262,3248,3170,3808,-4,3808,1,49.99,173581
2019-09-11 11:23:59.698,394,391,391,3256,3239,3184,3822,11,3822,1,50.02,173582
2019-09-11 11:23:59.825,392,388,392,3274,3265,3210,3800,-49,3801,1,50,173583
2019-09-11 11:23:59.934,394,398,396,3279,3249,3193,3808,-55,3809,1,50.02,173584
2019-09-11 11:24:00.028,393,397,397,3279,3242,3196,3812,-45,3812,1,49.97,173585
2019-09-11 11:24:00.127,395,398,395,3254,3236,3182,3793,-32,3794,1,50,173586
2019-09-11 11:24:00.226,388,392,392,3268,3249,3173,3799,2,3821,1,50.01,173587
2019-09-11 11:24:00.304,398,398,392,3254,3230,3186,3798,-27,3799,1,50.01,173588
2019-09-11 11:24:00.429,392,389,388,3271,3249,3194,3774,-21,3774,1,49.98,173589
2019-09-11 11:24:00.570,395,396,392,3276,3232,3176,3788,-48,3788,1,50.01,173590
2019-09-11 11:24:00.717,394,394,391,3278,3248,3193,3798,-19,3798,1,50,173591
2019-09-11 11:24:00.816,395,394,391,3270,3239,3197,3816,-1,3816,1,49.96,173592
2019-09-11 11:24:00.928,393,398,394,3248,3250,3193,3802,-16,3802,1,49.99,173593
2019-09-11 11:24:01.024,392,393,393,3272,3255,3186,3787,-25,3787,1,49.98,173594
2019-09-11 11:24:01.131,397,393,392,3266,3255,3209,3811,-24,3811,1,50,173595
2019-09-11 11:24:01.213,393,397,397,3274,3258,3207,3807,-21,3807,1,50,173596
2019-09-11 11:24:01.312,394,395,393,3262,3249,3202,3810,-14,3810,1,49.98,173597
2019-09-11 11:24:01.437,397,399,394,3264,3260,3176,3832,-17,3832,1,49.97,173598
2019-09-11 11:24:01.517,397,396,395,3280,3250,3208,3829,-29,3829,1,49.99,173599
2019-09-11 11:24:01.617,395,393,390,3279,3258,3197,3815,-15,3815,1,49.97,173600
2019-09-11 11:24:01.711,394,393,396,3273,3256,3217,3843,-11,3843,1,50.03,173601
2019-09-11 11:24:01.808,393,394,395,3284,3266,3195,3842,-19,3842,1,50,173602
2019-09-11 11:24:01.904,393,394,394,3295,3265,3203,3818,-29,3818,1,49.99,173603
2019-09-11 11:24:02.019,393,391,393,3285,3257,3198,3794,-37,3794,1,50,173604
2019-09-11 11:24:02.138,395,396,395,3293,3251,3192,3823,-15,3823,1,50,173605
2019-09-11 11:24:02.222,392,395,392,3271,3269,3202,3786,-54,3786,1,49.99,173606
2019-09-11 11:24:02.314,394,393,391,3288,3251,3219,3812,-29,3813,1,50,173607
2019-09-11 11:24:02.408,392,393,393,3276,3260,3203,3815,-50,3815,1,50.01,173608
2019-09-11 11:24:02.504,392,393,392,3275,3266,3208,3809,2,3809,1,50,173609
2019-09-11 11:24:02.614,394,393,396,3280,3251,3200,3832,-14,3832,1,50.01,173610
2019-09-11 11:24:02.711,397,398,395,3272,3263,3187,3855,-35,3855,1,49.99,173611
2019-09-11 11:24:02.807,398,398,398,3271,3273,3199,3861,-6,3861,1,49.99,173612
2019-09-11 11:24:02.932,391,395,393,3274,3267,3197,3808,-2,3808,1,49.99,173613
2019-09-11 11:24:03.010,396,392,392,3285,3284,3213,3849,15,3849,1,50.01,173614
2019-09-11 11:24:03.105,391,391,390,3298,3261,3212,3808,-36,3808,1,49.98,173615
2019-09-11 11:24:03.228,394,394,393,3281,3263,3196,3842,17,3842,1,50,173616
2019-09-11 11:24:03.306,397,394,397,3283,3258,3209,3846,-22,3846,1,49.99,173617
2019-09-11 11:24:03.415,395,396,396,3280,3257,3202,3828,-17,3828,1,49.99,173618
2019-09-11 11:24:03.524,389,390,389,3276,3265,3213,3836,11,3836,1,49.97,173619
2019-09-11 11:24:03.620,397,397,396,3276,3250,3200,3854,26,3854,1,50,173620
2019-09-11 11:24:03.717,393,392,393,3286,3271,3220,3800,-54,3800,1,50,173621
2019-09-11 11:24:03.812,391,390,390,3273,3273,3198,3800,-48,3800,1,49.98,173622
2019-09-11 11:24:03.908,393,391,391,3291,3256,3206,3819,-22,3819,1,50.01,173623
2019-09-11 11:24:04.064,390,390,391,3282,3252,3198,3792,-2,3792,1,50,173624
2019-09-11 11:24:04.193,398,393,393,3283,3251,3198,3785,-68,3785,1,50.02,173625
2019-09-11 11:24:04.307,394,394,394,3276,3256,3186,3840,-7,3840,1,50.02,173626
2019-09-11 11:24:04.418,390,393,394,3272,3251,3200,3809,-38,3809,1,50,173627
2019-09-11 11:24:04.576,394,395,396,3281,3262,3197,3804,-48,3804,1,50.01,173628
2019-09-11 11:24:04.688,393,392,392,3242,3245,3202,3836,28,3836,1,50.04,173629
2019-09-11 11:24:04.771,394,398,393,3288,3246,3206,3798,-47,3798,1,50.02,173630
2019-09-11 11:24:04.896,393,394,392,3260,3241,3188,3816,-29,3816,1,50.01,173631
2019-09-11 11:24:05.021,392,391,392,3274,3255,3197,3792,-26,3792,1,49.97,173632
2019-09-11 11:24:05.134,389,392,395,3283,3256,3209,3799,-42,3799,1,50,173633
2019-09-11 11:24:05.225,391,389,392,3274,3257,3219,3790,-1,3790,1,50.02,173634
2019-09-11 11:24:05.321,393,396,393,3269,3242,3190,3806,-2,3806,1,50.01,173635
2019-09-11 11:24:05.431,398,399,397,3271,3265,3193,3832,-12,3832,1,50,173636
2019-09-11 11:24:05.525,391,395,394,3250,3224,3178,3782,-38,3782,1,50,173637
2019-09-11 11:24:05.618,396,397,399,3250,3259,3198,3812,-18,3812,1,50.02,173638
2019-09-11 11:24:05.712,395,396,396,3269,3248,3204,3833,-19,3833,1,50,173639
2019-09-11 11:24:05.809,398,398,395,3282,3273,3205,3816,-7,3816,1,50.02,173640
2019-09-11 11:24:05.920,397,399,393,3280,3252,3196,3787,3,3787,1,49.99,173641
2019-09-11 11:24:06.016,395,395,393,3279,3247,3175,3816,-14,3816,1,50.01,173642
2019-09-11 11:24:06.110,397,396,396,3266,3259,3193,3829,-18,3829,1,50.04,173643
2019-09-11 11:24:06.233,393,393,392,3283,3250,3194,3797,-57,3797,1,50,173644
2019-09-11 11:24:06.332,393,387,388,3269,3239,3203,3783,-24,3784,1,50.02,173645
2019-09-11 11:24:06.426,392,397,396,3276,3263,3193,3796,10,3796,1,49.99,173646
2019-09-11 11:24:06.506,393,390,388,3285,3252,3204,3812,28,3812,1,49.99,173647
2019-09-11 11:24:06.621,393,397,396,3260,3246,3207,3830,-19,3830,1,50.02,173648
2019-09-11 11:24:06.727,391,390,389,3284,3246,3196,3779,-15,3779,1,50,173649
2019-09-11 11:24:06.842,393,392,394,3271,3258,3189,3840,6,3840,1,50.03,173650
2019-09-11 11:24:06.936,390,391,388,3282,3253,3206,3788,-40,3788,1,50,173651
2019-09-11 11:24:07.016,394,394,393,3263,3265,3198,3824,11,3824,1,49.97,173652
2019-09-11 11:24:07.127,391,390,392,3260,3253,3187,3853,-11,3853,1,50,173653
2019-09-11 11:24:07.223,395,397,393,3293,3267,3206,3824,2,3824,1,50.03,173654
2019-09-11 11:24:07.336,398,398,398,3289,3259,3205,3856,-19,3856,1,50.01,173655
2019-09-11 11:24:07.430,396,398,399,3264,3252,3198,3829,12,3829,1,50.02,173656
2019-09-11 11:24:07.524,394,394,393,3265,3253,3207,3810,-42,3810,1,50,173657
2019-09-11 11:24:07.618,396,397,396,3285,3268,3209,3829,-19,3829,1,49.99,173658
